bulan;pekerjaan;kontakrator;progres;rencana;proyeksi;rencana_tagihan;realisasi;keterangan
februari;Supervisi PLTA Jatigede;PLN E;null;3495451;3495451;0;3495451;0
februari;Pembangunan PLTA Jatigede;Sinohydro PP Consortium;null;5697066;5697066;0;5697066;0
februari;SUTT 150 kV Padalarang Baru II  Padalarang Baru;PT INDISI;null;3708816;3708816;0;3708816;0
februari;Ext 2 LB GI 150 kV Telukjambe;PT INDOKOMAS;null;2113385;2113385;0;2113385;0
maret;Pembangunan PLTA Jatigede;Sinohydro PP Consortium;null;124078459;124078459;0;124078459;0
maret;SUTT 150 kV Padalarang Baru II  Padalarang Baru;PT INDISI;null;4681383;4681383;0;4681383;0
maret;PPN Penyelesaian SUTET 500 KV Indramayu  Cibatu (143 Tower);null;null;1058730;1058730;0;1058730;0
maret;Penyelesaian SUTET 500 KV Indramayu  Cibatu (143 Tower);PT PPN;null;9624820;9624820;0;9624820;0
maret;SUTT 150 Kv Rancaekek  Sunyaragi Section 1;PT Multifab;null;1187584;1187584;0;1187584;0
maret;GIS 150 kV Dayeuhkolot;PT PERCIE;null;1716310;1716310;0;1716310;0
april;GI 150 kV Sumedang Baru;PT Citramas;null;1963568;1963568;0;1963568;0
may;Pembangunan PLTA Jatigede;Sinohydro PP Consortium;null;46520329;46520329;0;46520329;0
may;Supervisi PLTA Jatigede;PLN E;null;10812974;10812974;0;10812974;0
juni;Pembangunan PLTA Jatigede;Sinohydro PP Consortium;null;2653138;2653138;0;2653138;0
juni;Supervisi PLTA Jatigede;PLN E;null;5474684;5474684;0;5474684;0
juni;Pembangunan PLTA Jatigede;Sinohydro PP Consortium;null;7425029;7425029;0;7425029;0
juni;SUTT 150 kV Jatigede Incomer;PT Multifab;null;377180;377180;0;377180;0
juni;GI 150 kV Subang Baru dan Incomer;PT Citramas;null;17282988;17282988;0;17282988;0
juli;Proteksi dan Telekomunikasi KCIC;PT PPN;null;0;949324;0;0;0
juli;Ext 2 LB GI 150 kV Cirata dan Ext 2 LB GI 150 kV Padalarang Baru;PT YUDHITA;null;949324;0;0;949324;0
juli;Supervisi PLTA Jatigede;PLN E;null;6312729;6312729;0;6312729;Sudah terbayar
juli;SUTT 150 kV Jatigede Incomer;PT Multifab;Bi Monthly 46;2262240;2262240;0;2262240;Sudah terbayar
juli;Proteksi dan Telekomunikasi KCIC;PT PPN;87sen;2867838;2867838;0;2867838;Sudah terbayar
juli;SUTT 150 kV Padalarang Baru II  Padalarang Baru;PT INDISI;100sen;4020362;4020362;0;4020362;Sudah terbayar
juli;SUTT 150 kV Rancaekek  Sunyaragi Section 2;PT INDISI;93sen;1914133;1914133;0;1914133;Sudah terbayar
juli;SUTT 150 kV Rancaekek  Sunyaragi Section 1;PT Multifab;92sen;1502673;1502673;0;1502673;Sudah terbayar
juli;Pembangunan PLTA Jatigede;Sinohydro PP Consortium;83sen;18731799;18731799;0;18731799;Sudah terbayar
agustus;GI 150 kV Subang Baru dan Incomer;PT Citramas;MS 64+PA;2423347;2423347;0;2423347;Sudah terbayar
agustus;Ext 2 LB GI 150 kV Cirata dan Ext 2 LB GI 150 kV Padalarang Baru;PT YUDHITA;Uang Muka;133110;133110;0;133110;Sudah terbayar
agustus;Pembangunan PLTA Jatigede;Sinohydro PP Consortium;null;2476567;2476567;0;2476567;Sudah terbayar
agustus;SUTT 150 kV Jatigede Incomer;PT Multifab;null;309786;309786;0;309786;Sudah terbayar
agustus;Proteksi dan Telekomunikasi KCIC;PT PPN;null;3204070;3204070;0;3204070;Sudah terbayar
agustus;SUTT 150 Kv Rancaekek  Sunyaragi Section 1;PT Multifab;null;210698;210698;0;210698;Sudah terbayar
agustus;GI 150 kV Subang Baru dan Incomer;PT Citramas;null;0;0;0;0;0
agustus;GIS 150 kV Dayeuhkolot;PT PERCIE;null;2890788;2890788;0;2890788;Sudah terbayar
september;SUTT 150 kV Rancaekek  Sunyaragi Section 2;null;null;268392;268392;0;268392;Sudah terbayar
september;SUTT 150 kV Padalarang Baru II  Padalarang Baru;PT INDISI;null;15638119;15638119;0;15638119;Sudah terbayar
september;Supervisi PLTA Jatigede;PLN E;null;0;0;0;0;0
september;Jasa Konsultasi Geologi dengan Lapi ITB;null;null;0;0;0;0;0
september;Pembangunan PLTA Jatigede;Sinohydro PP Consortium;null;49284719;49284719;0;49284719;Sudah terbayar
september;SUTT 150 kV Padalarang Baru II  Padalarang Baru;PT INDISI;null;0;0;0;0;0
september;SUTET 500 kV Indramayu  Cibatu (Deltamas) Section 1;PT INDISI;null;3703962;3703962;0;3703962;Sudah terbayar
september;SUTET 500 kV Indramayu  Cibatu (Deltamas) Section 1;PT INDISI;null;701183;701183;0;701183;Sudah terbayar
september;GI 150 kV Subang Baru dan Incomer;PT Citramas;null;4196972;4196972;0;4196972;Sudah terbayar
september;GI 150 kV Semen Jawa dan Incomer;PT MPT;null;0;0;0;0;0
september;SUTT 150 kV Rancaekek  Sunyaragi Section 2;PT INDISI;null;2037173;2037173;0;2037173;Sudah terbayar
september;GI 150 KV Cianjur II;KSO Saptaguna  TDKK;null;0;0;0;0;0
september;SUTT 150 kV Padalarang Baru II  Padalarang Baru;PT INDISI;100sen;2113668;2113668;0;2113668;sisa tagihan
september;GIS 150 kV Dayeuhkolot;PT PERCIE;null;405334;405334;0;405334;ppn
oktober;Proteksi dan Telekomunikasi KCIC;PT PPN;null;392878;392878;0;392878;ppn
oktober;SUTT 150 kV Jatigede Incomer;PT Multifab;null;4239752;4239752;0;4239752;Sudah terbayar
oktober;Pembangunan PLTA Jatigede;Sinohydro PP Consortium;null;20352464;20352464;0;20352478;0
oktober;GI 150 KV Cianjur II;KSO Saptaguna  TDKK;null;2119014;2119014;0;0;0
oktober;EXT 1LB GI 150 kV Cikumpay dan Incomer;PT PPN;null;990727;990727;0;868895;0
oktober;Jasa Konsultansi Geologi dan Geoteknik Expert Pada Proyek PLTA Jatigede 2x55 MW;null;null;839602;839602;0;0;0
oktober;SUTT 150 kV Jatigede Incomer;PT Multifab;null;0;0;0;243721;0
november;SUTT 150 Kv Rancaekek  Sunyaragi Section 1;PT Multifab;null;3042265;3042265;0;2969634;0
november;Supervisi PLTA Jatigede;PLN E;null;0;0;0;5545352;0
november;Supervisi PLTA Jatigede;PLN E;null;0;0;0;180546;0
november;Pembangunan PLTA Jatigede;Sinohydro PP Consortium;null;11221505;31935576;0;33265669;0
november;SUTT 150 kV Rancaekek  Sunyaragi Section 2;PT INDISI;null;1470817;1470817;0;1326841;0
november;SUTT 150 Kv Rancaekek  Sunyaragi Section 1;PT Multifab;null;902022;902022;0;72631;0
november;GI 150 kV Subang Baru dan Incomer;PT Citramas;null;0;0;0;624337;0
november;GIS 150 kV Dayeuhkolot;PT PERCIE;null;0;0;0;0;0
november;Jasa Konsultansi Geologi dan Geoteknik Expert Pada Proyek PLTA Jatigede 2x55 MW;null;null;0;0;0;839602;0
november;GI 150 KV Cianjur II;KSO Saptaguna  TDKK;null;0;0;0;2119014;0
november;Penyelesaian SUTET 500 KV Indramayu  Cibatu (143 Tower);PT PPN;null;0;0;0;4776646;0
november;EXT 1LB GI 150 kV Cikumpay dan Incomer;PT PPN;null;0;0;0;121833;0
desember;GIS 150 kV Tegalluar;null;null;0;0;0;135926;0
desember;Ext 2 LB GI 150 kV Telukjambe;PT INDOKOMAS;null;0;0;0;0;0
desember;Supervisi PLTA Jatigede;PLN E;null;7880084;2574739;2607947;3913518;0
desember;Pembangunan PLTA Jatigede;Sinohydro PP Consortium;null;24449474;0;0;3371623;0
desember;JASA PENDAMPINGAN KEGIATAN PRACOD PLTA JATIGEDE 2X55 MW;PT Indonesia Power;null;0;0;0;0;0
desember;SUTT 150 kV Jatigede Incomer;PT Multifab;null;2160000;2160000;2653470;2653470;0
desember;SUTT 150 kV Jatigede Incomer;PT Multifab;null;0;0;5930865;4875223;0
desember;SUTT 150 kV Padalarang Baru II  Padalarang Baru;PT INDISI;null;0;0;3543928;0;0
desember;GI 150 kV Subang Baru dan Incomer;PT Citramas;null;839394;839394;0;0;0
desember;Uprating SUTT 150 kV Bandung Timur  Ujung Berung;PT QDC;null;0;0;0;0;0
desember;SUTT 150 Kv Rancaekek  Sunyaragi Section 1;PT Multifab;null;4908132;1865867;3470948;3229421;0
desember;SUTT 150 kV Rancaekek  Sunyaragi Section 2;PT INDISI;null;0;0;0;0;0
desember;GIS 150 kV Padalarang;PT PERCIE;null;0;0;0;0;0
desember;GI 150 kV Semen Jawa dan Incomer;PT MPT;null;0;0;0;0;0
desember;GIS 150 kV Dayeuhkolot;PT PERCIE;null;1700000;1700000;3581246;3140849;0
desember;GI 150 KV Cianjur II;KSO Saptaguna  TDKK;null;2151743;0;0;0;0
desember;Ext 2 LB GI 150 kV Cirata dan Ext 2 LB GI 150 kV Padalarang Baru;PT YUDHITA;null;0;0;0;0;0
desember;EXT 1LB GI 150 kV Cikumpay dan Incomer;PT PPN;null;0;0;0;0;0
desember;SUTET 500 kV Indramayu  Cibatu (Deltamas) Section 1;PT INDISI;null;0;0;0;0;0
desember;SUTET 500 kV Indramayu  Cibatu (Deltamas) Section 1;PT INDISI;null;0;0;0;0;0
desember;SUTET 500 kV Indramayu  Cibatu (Deltamas) Section 1;PT INDISI;null;0;0;0;0;0
desember;SUTET 500 kV Indramayu  Cibatu (Deltamas) Section 2;PT INDISI;null;0;0;0;0;0
desember;Proteksi dan Telekomunikasi KCIC;PT PPN;null;392878;0;0;0;0
desember;Jasa Konsultansi Geologi dan Geoteknik Expert Pada Proyek PLTA Jatigede 2x55 MW;null;null;0;0;0;0;0
desember;GI 150 kV Telukjambe II;PT KAP;null;32897248;0;8669786;7603636;0
desember;SUTT 150 kV Telukjambe II  Telukjambe;PT SMK;null;20000000;0;0;0;0
desember;Rek SUTT 150 kV Ujungberung Lama  Ujungberung Baru;null;null;14601091;0;0;0;0